Epoch 1 | iter 50 step 12 | loss train: 1.937, val: 1.940 | iter time: 2259.28 ms
Epoch 1 | iter 100 step 25 | loss train: 1.907, val: 1.940 | iter time: 3573.51 ms (step)
Epoch 1 | iter 150 step 37 | loss train: 1.753, val: 1.940 | iter time: 2225.70 ms
Epoch 1 | iter 200 step 50 | loss train: 1.364, val: 1.940 | iter time: 3410.54 ms (step)
Epoch 1 | iter 250 step 62 | loss train: 0.491, val: 1.940 | iter time: 2341.57 ms
Epoch 1 | iter 300 step 75 | loss train: 0.202, val: 1.940 | iter time: 3216.14 ms (step)
Epoch 1 | iter 350 step 87 | loss train: 0.135, val: 1.940 | iter time: 2334.28 ms
Epoch 1 | iter 400 step 100 | loss train: 0.119, val: 1.940 | iter time: 3118.75 ms (step)
Epoch 1 | iter 450 step 112 | loss train: 0.104, val: 1.940 | iter time: 2240.68 ms
Epoch 1 | iter 500 step 125 | loss train: 0.102, val: 1.940 | iter time: 3856.05 ms (step)
Epoch 1 | iter 550 step 137 | loss train: 0.094, val: 1.940 | iter time: 2204.83 ms
Epoch 1 | iter 600 step 150 | loss train: 0.085, val: 1.940 | iter time: 3627.14 ms (step)
Epoch 1 | iter 650 step 162 | loss train: 0.080, val: 1.940 | iter time: 2149.55 ms
Epoch 1 | iter 700 step 175 | loss train: 0.078, val: 1.940 | iter time: 2986.90 ms (step)
Epoch 1 | iter 750 step 187 | loss train: 0.069, val: 1.940 | iter time: 2205.73 ms
Epoch 1 | iter 800 step 200 | loss train: 0.066, val: 1.940 | iter time: 3540.78 ms (step)
Epoch 1 | iter 850 step 212 | loss train: 0.062, val: 0.066 | iter time: 2218.74 ms
Epoch 1 | iter 900 step 225 | loss train: 0.063, val: 0.066 | iter time: 3575.31 ms (step)
Epoch 1 | iter 950 step 237 | loss train: 0.060, val: 0.066 | iter time: 2292.92 ms
Epoch 1 | iter 1000 step 250 | loss train: 0.062, val: 0.066 | iter time: 3511.63 ms (step)
Epoch 1 | iter 1050 step 262 | loss train: 0.059, val: 0.066 | iter time: 2448.18 ms
Epoch 1 | iter 1100 step 275 | loss train: 0.059, val: 0.066 | iter time: 3356.05 ms (step)
Epoch 1 | iter 1150 step 287 | loss train: 0.058, val: 0.066 | iter time: 2404.86 ms
Epoch 1 | iter 1200 step 300 | loss train: 0.057, val: 0.066 | iter time: 3423.89 ms (step)
Epoch 1 | iter 1250 step 312 | loss train: 0.057, val: 0.066 | iter time: 2248.62 ms
Epoch 1 | iter 1300 step 325 | loss train: 0.057, val: 0.066 | iter time: 3250.36 ms (step)
Epoch 1 | iter 1350 step 337 | loss train: 0.056, val: 0.066 | iter time: 2358.13 ms
Epoch 1 | iter 1400 step 350 | loss train: 0.057, val: 0.066 | iter time: 3403.21 ms (step)
Epoch 1 | iter 1450 step 362 | loss train: 0.056, val: 0.066 | iter time: 2431.73 ms
Epoch 1 | iter 1500 step 375 | loss train: 0.055, val: 0.066 | iter time: 3552.78 ms (step)
Epoch 1 | iter 1550 step 387 | loss train: 0.057, val: 0.066 | iter time: 2353.61 ms
Epoch 1 | iter 1600 step 400 | loss train: 0.056, val: 0.066 | iter time: 2934.73 ms (step)
Epoch 1 | iter 1650 step 412 | loss train: 0.057, val: 0.055 | iter time: 2270.56 ms
Epoch 1 | iter 1700 step 425 | loss train: 0.055, val: 0.055 | iter time: 3288.03 ms (step)
Epoch 1 | iter 1750 step 437 | loss train: 0.056, val: 0.055 | iter time: 2310.21 ms
Epoch 1 | iter 1800 step 450 | loss train: 0.055, val: 0.055 | iter time: 3545.74 ms (step)
Epoch 1 | iter 1850 step 462 | loss train: 0.054, val: 0.055 | iter time: 2331.34 ms
Epoch 1 | iter 1900 step 475 | loss train: 0.054, val: 0.055 | iter time: 3166.66 ms (step)
