Epoch 1 | iter 50 step 12 | loss train: 2.345, val: n/a | iter time: 1694.03 ms
Epoch 1 | iter 100 step 25 | loss train: 2.325, val: n/a | iter time: 3041.04 ms (step)
Epoch 1 | iter 150 step 37 | loss train: 2.224, val: n/a | iter time: 1692.31 ms
Epoch 1 | iter 200 step 50 | loss train: 1.999, val: n/a | iter time: 2289.78 ms (step)
Epoch 1 | iter 250 step 62 | loss train: 1.476, val: n/a | iter time: 1691.01 ms
Epoch 1 | iter 300 step 75 | loss train: 1.152, val: n/a | iter time: 2296.09 ms (step)
Epoch 1 | iter 350 step 87 | loss train: 0.337, val: n/a | iter time: 1689.87 ms
Epoch 1 | iter 400 step 100 | loss train: 0.201, val: n/a | iter time: 2311.50 ms (step)
Epoch 1 | iter 450 step 112 | loss train: 0.174, val: n/a | iter time: 1702.15 ms
Epoch 1 | iter 500 step 125 | loss train: 0.154, val: n/a | iter time: 2285.95 ms (step)
Epoch 1 | iter 550 step 137 | loss train: 0.137, val: n/a | iter time: 1693.02 ms
Epoch 1 | iter 600 step 150 | loss train: 0.122, val: n/a | iter time: 2285.69 ms (step)
Epoch 1 | iter 650 step 162 | loss train: 0.110, val: n/a | iter time: 1684.97 ms
Epoch 1 | iter 700 step 175 | loss train: 0.108, val: n/a | iter time: 2298.02 ms (step)
Epoch 1 | iter 750 step 187 | loss train: 0.099, val: n/a | iter time: 1681.71 ms
Epoch 1 | iter 800 step 200 | loss train: 0.093, val: n/a | iter time: 2264.69 ms (step)
Epoch 1 | iter 850 step 212 | loss train: 0.089, val: 0.094 | iter time: 1686.90 ms
Epoch 1 | iter 900 step 225 | loss train: 0.088, val: 0.094 | iter time: 2302.12 ms (step)
Epoch 1 | iter 950 step 237 | loss train: 0.083, val: 0.094 | iter time: 1684.29 ms
Epoch 1 | iter 1000 step 250 | loss train: 0.080, val: 0.094 | iter time: 2291.99 ms (step)
Epoch 1 | iter 1050 step 262 | loss train: 0.078, val: 0.094 | iter time: 1706.97 ms
Epoch 1 | iter 1100 step 275 | loss train: 0.075, val: 0.094 | iter time: 2280.76 ms (step)
Epoch 1 | iter 1150 step 287 | loss train: 0.072, val: 0.094 | iter time: 1701.05 ms
Epoch 1 | iter 1200 step 300 | loss train: 0.071, val: 0.094 | iter time: 2266.34 ms (step)
Epoch 1 | iter 1250 step 312 | loss train: 0.070, val: 0.094 | iter time: 1689.64 ms
Epoch 1 | iter 1300 step 325 | loss train: 0.070, val: 0.094 | iter time: 2277.43 ms (step)
Epoch 1 | iter 1350 step 337 | loss train: 0.068, val: 0.094 | iter time: 1690.48 ms
Epoch 1 | iter 1400 step 350 | loss train: 0.068, val: 0.094 | iter time: 2297.08 ms (step)
Epoch 1 | iter 1450 step 362 | loss train: 0.067, val: 0.094 | iter time: 1697.53 ms
Epoch 1 | iter 1500 step 375 | loss train: 0.067, val: 0.094 | iter time: 2316.27 ms (step)
Epoch 1 | iter 1550 step 387 | loss train: 0.067, val: 0.094 | iter time: 1688.90 ms
Epoch 1 | iter 1600 step 400 | loss train: 0.066, val: 0.094 | iter time: 2291.06 ms (step)
Epoch 1 | iter 1650 step 412 | loss train: 0.067, val: 0.065 | iter time: 1676.18 ms
Epoch 1 | iter 1700 step 425 | loss train: 0.065, val: 0.065 | iter time: 2281.04 ms (step)
Epoch 1 | iter 1750 step 437 | loss train: 0.066, val: 0.065 | iter time: 1695.57 ms
Epoch 1 | iter 1800 step 450 | loss train: 0.066, val: 0.065 | iter time: 2296.74 ms (step)
Epoch 1 | iter 1850 step 462 | loss train: 0.064, val: 0.065 | iter time: 1697.53 ms
Epoch 1 | iter 1900 step 475 | loss train: 0.064, val: 0.065 | iter time: 2284.24 ms (step)
Epoch 1 | iter 1950 step 487 | loss train: 0.064, val: 0.065 | iter time: 1692.85 ms
Epoch 1 | iter 2000 step 500 | loss train: 0.063, val: 0.065 | iter time: 2297.27 ms (step)
Epoch 1 | iter 2050 step 512 | loss train: 0.065, val: 0.065 | iter time: 1702.32 ms
Epoch 1 | iter 2100 step 525 | loss train: 0.065, val: 0.065 | iter time: 2292.84 ms (step)
Epoch 1 | iter 2150 step 537 | loss train: 0.063, val: 0.065 | iter time: 1681.53 ms
Epoch 1 | iter 2200 step 550 | loss train: 0.064, val: 0.065 | iter time: 2276.06 ms (step)
Epoch 1 | iter 2250 step 562 | loss train: 0.064, val: 0.065 | iter time: 1678.23 ms
Epoch 1 | iter 2300 step 575 | loss train: 0.064, val: 0.065 | iter time: 2282.07 ms (step)
Epoch 1 | iter 2350 step 587 | loss train: 0.063, val: 0.065 | iter time: 1697.31 ms
Epoch 1 | iter 2400 step 600 | loss train: 0.063, val: 0.065 | iter time: 2281.07 ms (step)
Epoch 1 | iter 2450 step 612 | loss train: 0.064, val: 0.064 | iter time: 1698.80 ms
