Epoch 1 | iter 50 step 25 | loss train: 2.017, val: n/a | iter time: 13353.36 ms (step)
Epoch 1 | iter 100 step 50 | loss train: 0.494, val: n/a | iter time: 13696.49 ms (step)
Epoch 1 | iter 150 step 75 | loss train: 0.172, val: n/a | iter time: 13639.80 ms (step)
Epoch 1 | iter 200 step 100 | loss train: 0.141, val: n/a | iter time: 13608.75 ms (step)
Epoch 1 | iter 250 step 125 | loss train: 0.117, val: n/a | iter time: 13660.98 ms (step)
Epoch 1 | iter 300 step 150 | loss train: 0.096, val: n/a | iter time: 13688.21 ms (step)
Epoch 1 | iter 350 step 175 | loss train: 0.083, val: n/a | iter time: 13827.47 ms (step)
Epoch 1 | iter 400 step 200 | loss train: 0.075, val: n/a | iter time: 13624.55 ms (step)
Epoch 1 | iter 450 step 225 | loss train: 0.071, val: 0.077 | iter time: 13593.65 ms (step)
Epoch 1 | iter 500 step 250 | loss train: 0.069, val: 0.077 | iter time: 13665.08 ms (step)
Epoch 1 | iter 550 step 275 | loss train: 0.067, val: 0.077 | iter time: 13589.61 ms (step)
Epoch 1 | iter 600 step 300 | loss train: 0.066, val: 0.077 | iter time: 13706.83 ms (step)
Epoch 1 | iter 650 step 325 | loss train: 0.067, val: 0.077 | iter time: 13556.33 ms (step)
Epoch 1 | iter 700 step 350 | loss train: 0.068, val: 0.077 | iter time: 13415.96 ms (step)
Epoch 1 | iter 750 step 375 | loss train: 0.066, val: 0.077 | iter time: 13919.44 ms (step)
Epoch 1 | iter 800 step 400 | loss train: 0.066, val: 0.077 | iter time: 13640.96 ms (step)
Epoch 1 | iter 850 step 425 | loss train: 0.064, val: 0.066 | iter time: 13666.84 ms (step)
Epoch 1 | iter 900 step 450 | loss train: 0.066, val: 0.066 | iter time: 13606.40 ms (step)
Epoch 1 | iter 950 step 475 | loss train: 0.065, val: 0.066 | iter time: 13747.45 ms (step)
Epoch 1 | iter 1000 step 500 | loss train: 0.064, val: 0.066 | iter time: 13664.21 ms (step)
Epoch 1 | iter 1050 step 525 | loss train: 0.063, val: 0.066 | iter time: 13696.78 ms (step)
Epoch 1 | iter 1100 step 550 | loss train: 0.064, val: 0.066 | iter time: 13751.98 ms (step)
Epoch 1 | iter 1150 step 575 | loss train: 0.065, val: 0.066 | iter time: 13666.92 ms (step)
Epoch 1 | iter 1200 step 600 | loss train: 0.063, val: 0.066 | iter time: 13695.85 ms (step)
Epoch 1 | iter 1250 step 625 | loss train: 0.063, val: 0.064 | iter time: 14311.63 ms (step)
Epoch 1 | iter 1300 step 650 | loss train: 0.063, val: 0.064 | iter time: 13642.20 ms (step)
Epoch 1 | iter 1350 step 675 | loss train: 0.065, val: 0.064 | iter time: 13665.16 ms (step)
Epoch 1 | iter 1400 step 700 | loss train: 0.064, val: 0.064 | iter time: 13738.76 ms (step)
Epoch 1 | iter 1450 step 725 | loss train: 0.064, val: 0.064 | iter time: 13637.27 ms (step)
Epoch 1 | iter 1500 step 750 | loss train: 0.062, val: 0.064 | iter time: 13618.91 ms (step)
Epoch 1 | iter 1550 step 775 | loss train: 0.065, val: 0.064 | iter time: 13671.38 ms (step)
Epoch 1 | iter 1600 step 800 | loss train: 0.063, val: 0.064 | iter time: 13573.36 ms (step)
Epoch 1 | iter 1650 step 825 | loss train: 0.061, val: 0.063 | iter time: 13481.73 ms (step)
Epoch 1 | iter 1700 step 850 | loss train: 0.062, val: 0.063 | iter time: 13783.68 ms (step)
Epoch 2 | iter 1750 step 875 | loss train: 0.064, val: 0.063 | iter time: 13578.24 ms (step)
Epoch 2 | iter 1800 step 900 | loss train: 0.062, val: 0.063 | iter time: 13600.68 ms (step)
Epoch 2 | iter 1850 step 925 | loss train: 0.061, val: 0.063 | iter time: 13578.09 ms (step)
Epoch 2 | iter 1900 step 950 | loss train: 0.062, val: 0.063 | iter time: 13375.07 ms (step)
Epoch 2 | iter 1950 step 975 | loss train: 0.064, val: 0.063 | iter time: 13933.45 ms (step)
Epoch 2 | iter 2000 step 1000 | loss train: 0.064, val: 0.063 | iter time: 13982.41 ms (step)
Epoch 2 | iter 2050 step 1025 | loss train: 0.062, val: 0.062 | iter time: 13659.83 ms (step)
Epoch 2 | iter 2100 step 1050 | loss train: 0.062, val: 0.062 | iter time: 13952.21 ms (step)
Epoch 2 | iter 2150 step 1075 | loss train: 0.062, val: 0.062 | iter time: 13610.78 ms (step)
Epoch 2 | iter 2200 step 1100 | loss train: 0.062, val: 0.062 | iter time: 14175.82 ms (step)
Epoch 2 | iter 2250 step 1125 | loss train: 0.063, val: 0.062 | iter time: 13643.53 ms (step)
Epoch 2 | iter 2300 step 1150 | loss train: 0.062, val: 0.062 | iter time: 13598.70 ms (step)
Epoch 2 | iter 2350 step 1175 | loss train: 0.061, val: 0.062 | iter time: 14341.90 ms (step)
Epoch 2 | iter 2400 step 1200 | loss train: 0.067, val: 0.062 | iter time: 13801.52 ms (step)
Epoch 2 | iter 2450 step 1225 | loss train: 0.059, val: 0.065 | iter time: 14021.32 ms (step)
Epoch 2 | iter 2500 step 1250 | loss train: 0.062, val: 0.065 | iter time: 13597.12 ms (step)
Epoch 2 | iter 2550 step 1275 | loss train: 0.063, val: 0.065 | iter time: 13694.08 ms (step)
Epoch 2 | iter 2600 step 1300 | loss train: 0.062, val: 0.065 | iter time: 13572.29 ms (step)
Epoch 2 | iter 2650 step 1325 | loss train: 0.061, val: 0.065 | iter time: 13653.19 ms (step)
Epoch 2 | iter 2700 step 1350 | loss train: 0.062, val: 0.065 | iter time: 13660.57 ms (step)
